trading_date,ticker,open,high,low,close,adj_close,volume
2019-09-09,IBOVESPA,102937.0,104260.0,102793.0,103181.0,103181.0,5516800
2019-09-10,IBOVESPA,103180.0,103503.0,102231.0,103032.0,103032.0,5478900
2019-09-11,IBOVESPA,103036.0,104156.0,103036.0,103446.0,103446.0,4877000
2019-09-12,IBOVESPA,104389.0,104618.0,103733.0,104371.0,104371.0,4962500
2019-09-13,IBOVESPA,104371.0,104699.0,103275.0,103501.0,103501.0,4039400
2019-09-16,IBOVESPA,103496.0,104005.0,102782.0,103680.0,103680.0,6038700
2019-09-17,IBOVESPA,103680.0,104619.0,103079.0,104617.0,104617.0,4574900
2019-09-18,IBOVESPA,104616.0,104762.0,103684.0,104532.0,104532.0,3882100
2019-09-19,IBOVESPA,104555.0,106001.0,104286.0,104339.0,104339.0,4915800
2019-09-20,IBOVESPA,104339.0,105045.0,103914.0,104817.0,104817.0,6769100
2019-09-23,IBOVESPA,104817.0,104817.0,104020.0,104638.0,104638.0,6769100
2019-09-24,IBOVESPA,104638.0,104893.0,103504.0,103876.0,103876.0,3972200
2019-09-25,IBOVESPA,103857.0,104481.0,103034.0,104481.0,104481.0,4117500
2019-09-26,IBOVESPA,104485.0,105342.0,104337.0,105319.0,105319.0,4138700
2019-09-27,IBOVESPA,105319.0,105633.0,104506.0,105078.0,105078.0,3471200
2019-09-30,IBOVESPA,105077.0,105178.0,104638.0,104745.0,104745.0,3895800
2019-10-01,IBOVESPA,104745.0,105121.0,103837.0,104053.0,104053.0,4095700
2019-10-02,IBOVESPA,104049.0,104049.0,100944.0,101031.0,101031.0,5066200
2019-10-03,IBOVESPA,101031.0,101560.0,99826.0,101516.0,101516.0,4665600
2019-10-04,IBOVESPA,101516.0,102580.0,101057.0,102551.0,102551.0,4649400
2019-10-07,IBOVESPA,102546.0,102546.0,100542.0,100573.0,100573.0,3938300
2019-10-08,IBOVESPA,100565.0,101296.0,99868.0,99981.0,99981.0,4342700
2019-10-09,IBOVESPA,100005.0,101567.0,100005.0,101249.0,101249.0,3939000
2019-10-10,IBOVESPA,101244.0,102483.0,101152.0,101817.0,101817.0,4373100
2019-10-11,IBOVESPA,101819.0,104381.0,101819.0,103832.0,103832.0,4351800
2019-10-14,IBOVESPA,103834.0,104305.0,103438.0,104302.0,104302.0,2987900
2019-10-15,IBOVESPA,104299.0,105048.0,104052.0,104490.0,104490.0,4093400
2019-10-16,IBOVESPA,104486.0,105462.0,103521.0,105423.0,105423.0,4509400
